Annee;Trimestre;Dernier_jour_du_mois;Duree_de_contrat;Nature_de_contrat;DPAE_brut;DPAE_cvs
2000;1;31/01/2000 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;276907;324827
2000;1;31/01/2000 00:00;Contrat de plus d'un mois;CDI;279422;227295
2000;1;29/02/2000 00:00;Contrat de plus d'un mois;CDI;221387;230751
2000;1;29/02/2000 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;222280;322663
2000;1;31/03/2000 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;267550;324818
2000;1;31/03/2000 00:00;Contrat de plus d'un mois;CDI;248015;238385
2000;2;30/04/2000 00:00;Contrat de plus d'un mois;CDI;275262;283226
2000;2;30/04/2000 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;276084;323029
2000;2;31/05/2000 00:00;Contrat de plus d'un mois;CDI;256406;283072
2000;2;31/05/2000 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;296619;339371
2000;2;30/06/2000 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;406424;311571
2000;2;30/06/2000 00:00;Contrat de plus d'un mois;CDI;248847;280282
2000;3;31/07/2000 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;628334;318335
2000;3;31/07/2000 00:00;Contrat de plus d'un mois;CDI;244230;280464
2000;3;31/08/2000 00:00;Contrat de plus d'un mois;CDI;195881;286738
2000;3;31/08/2000 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;204060;326050
2000;3;30/09/2000 00:00;Contrat de plus d'un mois;CDI;362015;265624
2000;3;30/09/2000 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;434891;312992
2000;4;31/10/2000 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;339529;316508
2000;4;31/10/2000 00:00;Contrat de plus d'un mois;CDI;381846;298346
2000;4;30/11/2000 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;265519;313964
2000;4;30/11/2000 00:00;Contrat de plus d'un mois;CDI;298620;299089
2000;4;31/12/2000 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;203946;315382
2000;4;31/12/2000 00:00;Contrat de plus d'un mois;CDI;236860;308708
2001;1;31/01/2001 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;267901;311276
2001;1;31/01/2001 00:00;Contrat de plus d'un mois;CDI;373127;300628
2001;1;28/02/2001 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;206827;318197
2001;1;28/02/2001 00:00;Contrat de plus d'un mois;CDI;282065;300789
2001;1;31/03/2001 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;248072;308302
2001;1;31/03/2001 00:00;Contrat de plus d'un mois;CDI;295769;289877
2001;2;30/04/2001 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;273140;306411
2001;2;30/04/2001 00:00;Contrat de plus d'un mois;CDI;290476;289994
2001;2;31/05/2001 00:00;Contrat de plus d'un mois;CDI;262102;294560
2001;2;31/05/2001 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;265437;310144
2001;2;30/06/2001 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;400701;311037
2001;2;30/06/2001 00:00;Contrat de plus d'un mois;CDI;258220;290856
2001;3;31/07/2001 00:00;Contrat de plus d'un mois;CDI;256703;285615
2001;3;31/07/2001 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;637668;309459
2001;3;31/08/2001 00:00;Contrat de plus d'un mois;CDD de plus d'un mois;189229;304415
2001;3;31/08/2001 00:00;Contrat de plus d'un mois;CDI;192441;284051
2001;3;30/09/2001 00:00;Contrat de plus d'un mois;CDI;373587;275032
